id,tier,filename,zone,difficulty,anchor,description
A01,A,tier-a/A01_blanfords_fox_ledge.png,Zone 2,明處,窄岩台,布氏狐坐喺窄岩台姿勢
A02,A,tier-a/A02_blanfords_fox_crevice_peek.png,Zone 2,半遮,窄岩縫,較淺色布氏狐從岩縫探頭
A03,A,tier-a/A03_blanfords_fox_tail_only.png,Zone 3,全藏,暗色岩縫,只見長蓬鬆尾巴
A04,A,tier-a/A04_blanfords_fox_notched_ear.png,Zone 1,明處,岩台,有缺口耳朵的布氏狐
A05,A,tier-a/A05_blanfords_fox_juvenile_boulder_peek.png,Zone 1,半遮,大石後,幼年布氏狐從石後探出
A06,A,tier-a/A06_blanfords_fox_older_crevice.png,Zone 2,全藏,陰影岩縫,年長及較厚毛層的布氏狐
A07,A,tier-a/A07_blanfords_fox_mid_leap.png,Zone 2,半遮,兩段岩台之間,跳躍中的布氏狐
A08,A,tier-a/A08_blanfords_fox_bracelet_guardian.png,Zone 3,明處,石拱附近,戴皮繩手環的守衛姿勢布氏狐
A09,A,tier-a/A09_blanfords_fox_back_stripe_crevice.png,Zone 2,全藏,陰影岩縫,背部有深色條紋的布氏狐
A10,A,tier-a/A10_blanfords_fox_warm_tint_gear_peek.png,Zone 3,半遮,攀山裝備後,暖紅色毛色布氏狐
A11,A,tier-a/A11_blanfords_fox_wide_eyes_spire.png,Zone 3,明處,高岩柱,大眼及被風吹起毛髮的布氏狐
A12,A,tier-a/A12_tibetan_sand_fox_flat_ledge.png,Zone 2,明處,平岩台,坐姿藏狐及方形面孔
A13,A,tier-a/A13_tibetan_sand_fox_boulder_peek.png,Zone 1,半遮,大石後,藏狐方形面孔局部探出
A14,A,tier-a/A14_tibetan_sand_fox_eyes_rocks.png,Zone 3,全藏,灰色岩石之間,只見藏狐雙眼
A15,A,tier-a/A15_bengal_fox_teaser_silhouette.png,Zone 3,全藏,遠方岩石後,孟加拉狐預告剪影
O1,B,tier-b/O01_fox_face_mug.png,Zone 1,明處,物資木箱面,布氏狐面陶瓷杯
O2,B,tier-b/O02_fox_pattern_blanket_folded.png,Zone 1,半遮,物資木箱面,布氏狐紋摺毯
O3,B,tier-b/O03_fox_tail_keychain_mule_strap.png,Zone 1,半遮,馱騾馱包帶,長尾狐形鎖匙扣
O4,B,tier-b/O04_fox_shaped_cookie.png,Zone 1,明處,營火旁錫盤,狐形曲奇
O5,B,tier-b/O05_knitted_blanfords_fox_plush.png,Zone 2,明處,編織毯,織冷布氏狐公仔
O6,B,tier-b/O06_fox_pattern_thermos.png,Zone 2,明處,岩台平面,布氏狐紋 thermos
O7,B,tier-b/O07_fox_shaped_salt_pepper_shakers.png,Zone 2,半遮,編織毯邊,狐形鹽椒樽一對
O8,B,tier-b/O08_fox_ear_knit_hat.png,Zone 3,半遮,攀山裝備,狐耳冷帽
O9,B,tier-b/O09_fox_wind_chime.png,Zone 3,明處,風化石拱,狐形風鈴
O10,B,tier-b/O10_blanfords_fox_field_guide_book.png,Zone 3,半遮,散落石堆,布氏狐圖鑑書
O11,B,tier-b/O11_fox_pattern_scarf.png,Zone 2,半遮,平石面,狐紋圍巾
O12,B,tier-b/O12_fox_pincushion_rope.png,Zone 1,全藏,盤好登山繩,狐形針插
O13,B,tier-b/O13_fox_label_preserve_jar.png,Zone 3,半遮,散落石堆之間,果醬樽狐紋標籤
O14,B,tier-b/O14_fox_head_charm_supply_pouch.png,Zone 2,全藏,半開補給袋,狐頭鎖匙扣
N1,B,tier-b/N01_cliff_rock_fox_paw_carving.png,Zone 3,全藏,崖頂岩石面,峭壁石刻狐紋
N2,B,tier-b/N02_fox_head_carabiner_rope.png,Zone 1,半遮,盤好登山繩,登山繩狐形扣
N3,B,tier-b/N03_ibex_horn_fox_engraving.png,Zone 2,半遮,岩台平面,岩羊角狐紋雕刻
N4,B,tier-b/N04_fox_motif_stone_lantern.png,Zone 3,明處,石拱下面,石燈狐紋
N5,B,tier-b/N05_blanfords_fox_shawl.png,Zone 2,半遮,平石面,布氏狐紋披肩
N6,B,tier-b/N06_climbing_backpack_fox_charm.png,Zone 1,明處,物資木箱旁,攀岩包狐形掛飾
N7,B,tier-b/N07_twilight_bell_fox_etching.png,Zone 3,半遮,石拱下面,黃昏鐘狐紋
C1,C,tier-c/C01_fox_pawprints_campfire_dust.png,Zone 1,全藏,營火周圍塵土地,狐爪印足跡
C2,C,tier-c/C02_long_fox_tail_tip_ledge.png,Zone 2,全藏,岩台邊沿背後,長狐尾尾尖
C3,C,tier-c/C03_fox_shadow_cliff_face.png,Zone 3,全藏,崖壁表面,黃昏狐形影子
C4,C,tier-c/C04_fox_ears_crevice.png,Zone 2,全藏,窄岩縫,狐耳局部線索
C5,C,tier-c/C05_fox_nose_whiskers_crate.png,Zone 1,全藏,物資木箱背後,狐鼻及鬍鬚
C6,C,tier-c/C06_fox_pawprints_plateau_edge.png,Zone 3,全藏,崖頂平台邊緣,崖頂狐爪印
C7,C,tier-c/C07_glowing_fox_eyes_rock_gap.png,Zone 2,全藏,岩石之間暗隙,暗隙中的狐眼
C8,C,tier-c/C08_fox_tail_tip_folded_tent.png,Zone 1,全藏,摺好帳篷底下,帳篷下狐尾尖
